case,case_id,eps_z,window,step,time_ps,interface_z_A,r_bin_min_A,r_bin_max_A,r_bin_center_A,r_bin_width_A,matrix_atoms_in_bin,bin_volume_A3,atom_volume_proxy_A3,sigma_xx_mean_mpa,sigma_yy_mean_mpa,sigma_zz_mean_mpa,sigma_xy_mean_mpa,sigma_xz_mean_mpa,sigma_yz_mean_mpa,abs_sigma_zz_mean_mpa,sigma_vm_mean_mpa,sigma_principal_max_mean_mpa,sigma_vm_median_mpa,sigma_vm_p90_mpa,sigma_vm_p95_mpa,sigma_vm_p99_mpa,sigma_principal_max_p95_mpa,abs_sigma_zz_p95_mpa,max_component_p95_mpa,fraction_vm_gt_120mpa,fraction_abs_sigma_zz_gt_120mpa,fraction_any_gt_120mpa,pe_atom_mean_ev,thermo_temp_K,thermo_press_bar,thermo_pxx_bar,thermo_pyy_bar,thermo_pzz_bar,stress_conversion_note,window_step_min,window_step_max,window_frame_count
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,42.0,44.0,43.0,2.0,1380,23055.73536282037,16.707054610739398,-1743.1712052355729,-1273.4475408382032,-1031.3194797657193,3.604958885658535e-10,0.06224570491527814,-1.0337563812952038e-10,1031.3194797657193,626.8968101510757,-1031.319474322833,627.3765901372558,668.7565604041416,670.5382189523334,671.2038713954856,-946.0178516003004,1113.4996822265537,1775.2740199301575,1.0,1.0,1.0,-3.3514556521739127,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,44.0,46.0,45.0,2.0,1380,23055.73536282037,16.707054610739398,-1749.4628067706044,-1279.8505896968427,-1042.941034913862,-3.461643888261518e-11,0.07679960635110604,-2.1414110113122743e-10,1042.941034913862,622.8301618696191,-1042.9410265656697,622.8920781203178,655.1114551306744,656.3915234692869,657.0862187590711,-974.0968756054277,1109.2978643935724,1776.7644083068133,1.0,1.0,1.0,-3.351445108695652,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,46.0,48.0,47.0,2.0,1380,23055.73536282037,16.707054610739398,-1754.4258885461059,-1284.9011117542643,-1052.1316331171056,-4.603381662831171e-11,0.05043141030648193,-1.672777210983557e-11,1052.1316331171056,619.6177784227064,-1052.1316294956507,619.5744476757254,644.096830842656,645.1437803032484,645.6951233257869,-997.6722633450993,1105.335466380134,1777.3390158737166,1.0,1.0,1.0,-3.3514363043478257,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,48.0,50.0,49.0,2.0,1380,23055.73536282037,16.707054610739398,-1758.1635702397882,-1288.704503778854,-1059.0638778486157,-8.06588158806541e-11,0.014163731707572359,-1.0120464400313693e-10,1059.0638778486157,617.1981097123935,-1059.0638775616587,617.1561569331404,635.4925909708139,636.2677163218614,636.644507127965,-1016.4159788170186,1100.6967073764863,1776.9679151534249,1.0,1.0,1.0,-3.3514291304347825,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,50.0,55.0,52.5,5.0,4140,57639.33840705093,13.922545508949499,-2113.9494894878026,-1550.672153257511,-1278.570747629971,2.9752841874527293e-13,-0.006140519821752083,-1.4648057375412566e-11,1278.570747629971,737.9627954813798,-1278.5707475848346,737.9614987564844,750.0768557200446,754.129292362148,755.8433348230863,-1239.8225830183192,1311.9583619431253,2129.4956429441786,1.0,1.0,1.0,-3.3514228260869565,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,55.0,60.0,57.5,5.0,2760,57639.33840705093,20.88381826342425,-1408.2021886994953,-1032.6648890320844,-850.3199178636731,-8.384283322128038e-12,0.0009345216563671172,-1.166431832653755e-11,850.3199178636731,492.7020296640116,-850.3199178621078,492.86523702892816,496.01457237051096,496.1701413254157,496.3642747730254,-840.650626291205,862.5960910390654,1414.8657887791421,1.0,1.0,1.0,-3.3514264130434785,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,60.0,65.0,62.5,5.0,4140,57639.33840705093,13.922545508949499,-2102.922567292557,-1539.4528624420407,-1258.0624102224167,-4.027764235846062e-12,0.0001472598443130539,1.4422451081250064e-11,1258.0624102224167,745.1400472023378,-1258.0624102223915,745.0410786396737,749.1926001951897,749.4538302778991,749.5251070169087,-1244.8368286185405,1275.2122080396498,2112.5806326934585,1.0,1.0,1.0,-3.3514415942028983,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,65.0,70.0,67.5,5.0,2760,57639.33840705093,20.88381826342425,-1391.475513365518,-1015.6460174226904,-819.2807517413023,-1.5446942733362718e-13,1.2434372423740921e-05,3.265383893829832e-12,819.2807517413023,503.59406907595525,-819.2807517413021,503.5855094756764,505.52788181500995,505.5684616422178,505.58410110658843,-813.4718557134639,825.6679780727371,1395.214209991044,1.0,1.0,1.0,-3.3514649999999997,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,70.0,75.0,72.5,5.0,4140,57639.33840705093,13.922545508949499,-2063.758819713458,-1499.6048426091302,-1185.4352147047127,1.3477667102050732e-12,6.802918125697611e-06,1.1531109556292236e-11,1185.4352147047127,770.8516783713286,-1185.435214704713,770.5162362766399,778.4413518815234,778.6042009501036,778.6667837629834,-1164.3775874539701,1205.9217180656804,2074.9869326288003,1.0,1.0,1.0,-3.3515018840579716,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,75.0,80.0,77.5,5.0,2760,57639.33840705093,20.88381826342425,-1355.2491867332787,-978.7875183712837,-752.141110535313,6.079706313457136e-13,4.5314538118735096e-07,1.080756060200899e-12,752.141110535313,527.6510842905835,-752.1411105353131,527.6902401384154,531.0265344490635,531.0757789674172,531.0908924053864,-742.9627954858062,761.3215073723327,1360.1248412388068,1.0,1.0,1.0,-3.3515499999999996,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,80.0,85.0,82.5,5.0,2760,57639.33840705093,20.88381826342425,-1334.39993632181,-957.5754688615269,-713.5398173648864,-2.359093070145528e-13,1.0010975414729222e-07,-8.332287102664198e-13,713.5398173648864,541.7644164160844,-713.5398173648865,541.8041783345093,545.807628876658,545.842716869529,545.8547895208146,-702.5870359022492,724.5178927121669,1340.2865149914653,1.0,1.0,1.0,-3.3515899999999994,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,85.0,90.0,87.5,5.0,4140,57639.33840705093,13.922545508949499,-1953.546616111501,-1387.4776708092297,-981.4279025985494,1.7918179415277746e-13,4.490162612483378e-09,5.056710667666782e-13,981.4279025985494,845.6728854177745,-981.4279025985495,845.2962056323363,860.5831130727474,860.6250171189712,860.6368196422272,-941.7315236089576,1020.3019261721076,1974.5455299340774,1.0,1.0,1.0,-3.3516520289855074,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,90.0,95.0,92.5,5.0,2760,57639.33840705093,20.88381826342425,-1264.116192407351,-886.0746394991993,-583.6186522898214,-1.9621049725239968e-13,-5.553498901774518e-10,4.927715377189877e-12,583.6186522898214,590.5387125455939,-583.6186522898214,590.5631469894892,596.4786082979533,596.4828862586345,596.4868882243264,-568.0953477978085,599.1816171813522,1272.5450712499396,1.0,1.0,1.0,-3.3517149999999996,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
