window,r_bin_min_A,r_bin_max_A,r_bin_center_A,eps00194_atoms,eps0000_atoms,eps0000_sigma_xx_mean_mpa,eps00194_sigma_xx_mean_mpa,delta_sigma_xx_mean_mpa,eps0000_sigma_yy_mean_mpa,eps00194_sigma_yy_mean_mpa,delta_sigma_yy_mean_mpa,eps0000_sigma_zz_mean_mpa,eps00194_sigma_zz_mean_mpa,delta_sigma_zz_mean_mpa,eps0000_abs_sigma_zz_mean_mpa,eps00194_abs_sigma_zz_mean_mpa,delta_abs_sigma_zz_mean_mpa,eps0000_sigma_vm_mean_mpa,eps00194_sigma_vm_mean_mpa,delta_sigma_vm_mean_mpa,eps0000_sigma_vm_p95_mpa,eps00194_sigma_vm_p95_mpa,delta_sigma_vm_p95_mpa,eps0000_abs_sigma_zz_p95_mpa,eps00194_abs_sigma_zz_p95_mpa,delta_abs_sigma_zz_p95_mpa,eps0000_fraction_vm_gt_120mpa,eps00194_fraction_vm_gt_120mpa,delta_fraction_vm_gt_120mpa,eps0000_fraction_abs_sigma_zz_gt_120mpa,eps00194_fraction_abs_sigma_zz_gt_120mpa,delta_fraction_abs_sigma_zz_gt_120mpa,eps0000_pe_atom_mean_ev,eps00194_pe_atom_mean_ev,delta_pe_atom_mean_ev
final,26.0,28.0,27.0,1380,1380,-702.891236383344,-736.325520259758,-33.43428387641404,-199.13799405348288,-223.06103970959566,-23.923045656112777,308.675234131826,268.97655654481724,-39.698677587008774,308.675234131826,268.97655654481724,-39.698677587008774,877.6179221229804,871.806211201976,-5.811710921004419,7365.80033738709,7267.3342613663945,-98.46607602069525,4453.967604329674,4323.230017669967,-130.73758665970672,1.0,1.0,0.0,0.9586956521739131,0.9528985507246377,-0.005797101449275366,-3.3122231159420292,-3.313045231884058,-0.0008221159420287449
final,28.0,30.0,29.0,1380,1380,-775.1882194363321,-855.0793019723644,-79.89108253603229,-309.4099734942199,-367.19523979366033,-57.78526629944042,202.63987379617825,7.616204529445053,-195.0236692667332,202.63987379617825,7.616204529445053,-195.0236692667332,851.5486423850967,753.7089074022806,-97.83973498281614,7138.383746655903,7256.918858857059,118.53511220115524,4308.966581920687,4162.7998842653,-146.166697655387,1.0,1.0,0.0,0.9543478260869566,0.9536231884057971,-0.0007246376811594901,-3.3127780507246376,-3.3124913768115944,0.00028667391304315615
final,30.0,32.0,31.0,1380,1380,-757.6916461433148,-771.2774749807292,-13.585828837414397,-271.86019635737415,-272.03654683746134,-0.17635048008719423,210.05097602783985,193.20108770779652,-16.849888320043334,210.05097602783985,193.20108770779652,-16.849888320043334,848.6818134825462,839.9485978074778,-8.733215675068436,7144.328287727882,7140.811961744057,-3.516325983824572,4092.1369201757984,4140.174412043699,48.03749186790037,1.0,1.0,0.0,0.9449275362318841,0.9608695652173913,0.01594202898550723,-3.3133581449275367,-3.3133481811594208,9.963768115905935e-06
final,32.0,34.0,33.0,1380,1380,-780.8401730543518,-686.7987540807267,94.04141897362513,-286.58679124393444,-202.6061549887853,83.98063625514914,189.0336460622375,340.93779556803645,151.90414950579896,189.0336460622375,340.93779556803645,151.90414950579896,862.5032941448776,890.9846533966213,28.481359251743697,7301.553628005712,7251.66123690775,-49.89239109796199,4233.615179214983,4447.69989272881,214.0847135138265,1.0,1.0,0.0,0.9543478260869566,0.9492753623188406,-0.005072463768115987,-3.314196717391304,-3.3133952391304353,0.0008014782608687376
final,34.0,36.0,35.0,1380,1380,-774.5270574365035,-727.3161941709895,47.21086326551392,-325.77729188687164,-228.14137442270476,97.63591746416688,196.33436818934172,247.4890069176258,51.154638728284084,196.33436818934172,247.4890069176258,51.154638728284084,843.850352790717,869.1460782749061,25.29572548418912,7078.9299852545255,7303.968132994941,225.0381477404153,4136.160239494287,4316.910830807899,180.75059131361195,1.0,1.0,0.0,0.9434782608695652,0.9543478260869566,0.010869565217391353,-3.313544695652174,-3.31347868115942,6.601449275400739e-05
final,36.0,38.0,37.0,1380,1380,-739.3352426653983,-705.7746222330616,33.56062043233669,-254.57991208275172,-215.19825285212957,39.38165923062215,279.5142486807094,288.9277596602807,9.4135109795713,279.5142486807094,288.9277596602807,9.4135109795713,883.8346361744321,868.1080746402724,-15.726561534159714,7217.418446068982,7467.619634444,250.20118837501832,4232.049074320397,4165.1435050238515,-66.90556929654576,1.0,1.0,0.0,0.9565217391304348,0.9652173913043478,0.008695652173912993,-3.314561855072464,-3.313589268115942,0.0009725869565220258
final,38.0,40.0,39.0,1380,1380,-706.0993448620388,-696.8101782000473,9.289166661991544,-231.69321840908452,-197.50255425134125,34.19066415774327,322.7862902738322,344.5112362847815,21.72494601094928,322.7862902738322,344.5112362847815,21.72494601094928,905.7363712728968,906.95532410885,1.218952835953246,7032.533527244598,7272.028276939432,239.49474969483344,4251.477394126771,4346.322957089223,94.84556296245137,1.0,1.0,0.0,0.9492753623188406,0.9637681159420289,0.01449275362318836,-3.3142021594202897,-3.3142973913043483,-9.523188405857752e-05
final,40.0,42.0,41.0,1380,1380,-736.9235501114629,-755.300671770452,-18.377121658989154,-220.50454086570917,-250.24488854534673,-29.74034767963755,270.5615593749128,256.2047558815059,-14.356803493406915,270.5615593749128,256.2047558815059,-14.356803493406915,889.3623174145101,881.9347690536529,-7.427548360857259,7299.401557341931,7034.473386177983,-264.9281711639478,4251.5662787347765,4131.259315788239,-120.30696294653717,1.0,1.0,0.0,0.9485507246376812,0.9579710144927536,0.009420289855072372,-3.3138149202898552,-3.3138388695652172,-2.394927536197855e-05
final,42.0,44.0,43.0,1380,1380,-757.4717090682138,-771.8793259875018,-14.407616919287989,-276.8249282645849,-281.361101383949,-4.5361731193640935,249.7490047828002,229.92932887834456,-19.819675904455636,249.7490047828002,229.92932887834456,-19.819675904455636,922.423673286107,871.8353492797885,-50.588324006318544,6939.838489934216,7092.522661274448,152.68417134023184,4052.7996452753173,4204.5603870143295,151.76074173901225,1.0,1.0,0.0,0.9528985507246377,0.9586956521739131,0.005797101449275366,-3.3138371376811597,-3.313854369565217,-1.7231884057444802e-05
final,44.0,46.0,45.0,1380,1380,-696.0651313633417,-751.2574366043198,-55.192305240978044,-220.5925046633538,-263.9488431201168,-43.35633845676301,346.10548985429784,222.87452038881366,-123.23096946548418,346.10548985429784,222.87452038881366,-123.23096946548418,924.8654541142507,865.5144193146285,-59.3510347996222,7226.877202098987,7329.312895552732,102.43569345374453,4493.546992522667,4376.736157491009,-116.81083503165792,1.0,1.0,0.0,0.9594202898550724,0.9550724637681159,-0.004347826086956497,-3.314038282608696,-3.312865449275362,0.0011728333333338448
