id,type,phase,x_A,y_A,z_A,pe_atom_eV,sxx_bar_A3,syy_bar_A3,szz_bar_A3,sxy_bar_A3,sxz_bar_A3,syz_bar_A3,hydrostatic_raw_bar_A3,displacement_A,dx_A,dy_A,dz_A,neighbor_count,strain_trace,von_mises_strain_proxy,d2min_A2
531,1,Fe4Al13_slab,5.684038646638497,0.7581250973805173,50.0594951662838,-3.65751,1803260.0,958977.0,-198000.0,2159660.0,136759.0,817099.0,-854745.6666666666,0.36008987456981656,0.20570311335299696,0.022082098171282705,-0.29472585204719337,14,0.036117057236806915,0.037831752825103836,0.053237449261502236
532,1,Fe4Al13_slab,11.542542174183577,6.151379676581948,48.6248498291181,-3.41268,-1563280.0,896235.0,379944.0,-84203.8,668306.0,-196784.0,95700.33333333333,0.3551021493755084,-0.028673333857501156,-0.06552564707985999,-0.34782433208642516,13,0.04819820562100918,0.06961356404175743,0.07185090268215692
533,1,Fe4Al13_slab,8.907511594968398,6.480871151421265,40.655279431941615,-3.47413,515060.0,79971.8,-504061.0,119964.0,-122185.0,46067.4,-30323.600000000017,0.47303382039173975,-0.3537642394367015,-0.14363563570712934,-0.27925017866634505,13,-0.022644446436995036,0.03547642725141632,0.07606012425996538
534,1,Fe4Al13_slab,15.769960286864254,5.446072665007926,52.397492811144545,-3.74611,448218.0,139389.0,2415390.0,420473.0,-319619.0,701049.0,-1000999.0,0.07315159971585171,0.068365161546847,-0.025842287588695,-0.0030882680979615884,14,0.008563148247776597,0.043179583949355865,0.02672192765375415
535,2,Fe4Al13_slab,15.95137695138017,4.8781937433312965,49.56976513739736,-3.32932,-39039.4,122919.0,-452738.0,17698.7,866121.0,-154135.0,122952.8,0.2516155950412861,-0.10664464451977373,-0.09490843784124792,-0.20719487418796234,11,0.02018437258463346,0.04540897876008703,0.03850252381765445
536,1,Fe4Al13_slab,13.585860469296986,4.876869427455156,50.441753413813124,-3.56364,-117627.0,642094.0,-1081880.0,-50370.8,874376.0,-569022.0,185804.33333333334,0.1851082816804706,-0.051075726073648305,-0.0872306210512477,-0.15507148320616437,14,0.028828822249630792,0.03991468557761825,0.028720368659579082
537,1,Fe4Al13_slab,14.038438843825473,6.206457808790378,48.01847329154225,-3.68573,-756177.0,363669.0,-86914.3,-1189480.0,2285990.0,-1270660.0,159807.43333333332,0.2423464164790111,-0.0817446823890986,-0.06956126326381007,-0.21728051715344063,13,0.007316607947277065,0.03530418726735952,0.035433822938910634
538,2,Fe4Al13_slab,8.267666575720261,1.1114884433566556,46.45243654515513,-3.4077,337244.0,1448390.0,-421175.0,617388.0,968591.0,-566899.0,-454819.6666666667,0.4865633090579456,0.21191849993721945,0.35652177928958784,-0.2544142763249795,11,-0.7213423309760658,0.500283666702387,2.8722601819719924
539,1,Fe4Al13_slab,10.19301645021817,5.7349648392100425,45.082408049198,-3.47768,1664250.0,-212202.0,808098.0,-580403.0,782764.0,-2223170.0,-753382.0,0.25990792176607547,-0.041585716437095854,-0.2253008101677381,-0.12272856604285208,14,0.07236868031287091,0.048284747934114414,0.08349031906234265
540,1,Fe4Al13_slab,10.980927857226217,5.400039112537901,42.55020297336991,-3.61207,1002420.0,436598.0,-1593050.0,359876.0,690631.0,530094.0,51344.0,0.21567602124758498,-0.09981364296047346,-0.08617713079506384,-0.1706660040783703,13,0.014377819234046352,0.03199796301113899,0.047683254919411805
